s,a,r,sp
30250,5,-25,29754
29754,5,-25,29757
29757,5,-25,29260
29260,5,-25,28763
28763,5,-25,28265
28265,5,-25,28267
28267,5,-25,27769
27769,5,-25,27271
27271,5,-25,26772
26772,5,-25,26273
26273,5,-25,25773
25773,5,-25,25273
25273,5,-25,24773
24773,3,-25,23772
23772,3,-25,23271
23271,3,-25,22269
22269,3,-25,21266
21266,3,-25,20763
20763,3,-25,19760
19760,3,-25,19256
19256,3,-25,18751
18751,3,-25,17746
17746,3,-25,17241
17241,3,-25,16735
16735,3,-25,16229
16229,3,-25,15723
15723,3,-25,15716
15716,3,-25,15209
15209,3,-25,15202
15202,3,-25,15195
15195,3,-25,14688
14688,3,-25,15181
15181,3,-25,15174
15174,3,-25,15167
15167,3,-25,15161
15161,3,-25,15654
15654,3,-25,16148
16148,3,-25,16642
16642,3,-25,17136
17136,3,-25,17631
17631,3,-25,18126
18126,3,-25,18622
18622,3,-25,19118
19118,3,-25,19614
19614,3,-25,20611
20611,3,-25,21108
21108,3,-25,21606
21606,3,-25,22604
22604,3,-25,23103
23103,3,-25,23602
23602,3,-25,24602
24602,3,-25,25102
25102,5,-25,26103
26103,5,-25,27105
27105,5,-25,28107
28107,5,-25,29110
29110,5,-25,30114
30114,5,-25,31118
31118,5,-25,32123
32123,5,-25,33129
33129,5,-25,33636
33636,5,-25,34642
34642,5,-25,35650
35650,5,-25,36158
36158,5,-25,36666
36666,5,-25,37175
37175,5,-25,37684
37684,5,-25,38194
38194,5,-25,38703
38703,5,-25,38713
38713,5,-25,38723
38723,5,-25,38732
38732,5,-25,38742
38742,5,-25,38251
38251,5,-25,38261
38261,5,-25,37770
37770,5,-25,37278
37278,5,-25,36786
36786,5,-25,36294
36294,5,-25,35302
35302,5,-25,34809
34809,5,-25,34315
34315,5,-25,33321
33321,5,-25,32826
32826,5,-25,31831
31831,5,-25,31335
31335,5,-25,30339
30339,5,-25,29842
29842,5,-25,28845
28845,5,-25,27847
27847,5,-25,27348
27348,5,-25,26349
26349,5,-25,25850
25850,5,-25,24850
24850,3,-25,23849
23849,3,-25,22847
22847,3,-25,21845
21845,3,-25,20842
20842,3,-25,19338
19338,3,-25,18333
18333,3,-25,17328
17328,3,-25,16321
16321,3,-25,15314
15314,3,-25,14307
14307,3,-25,13298
13298,3,-25,12289
12289,3,-25,11279
11279,3,-25,10269
10269,3,-25,9758
9758,3,-25,8747
8747,3,-25,8235
8235,3,-25,7723
7723,3,-25,7210
7210,3,-25,7198
7198,3,-25,7185
7185,3,-25,7173
7173,3,-25,7160
7160,3,-25,7648
7648,3,-25,8136
8136,3,-25,8625
8625,3,-25,9114
9114,3,-25,9603
9603,3,-25,10593
10593,3,-25,11083
11083,3,-25,12074
12074,3,-25,12565
12565,3,-25,13557
13557,3,-25,14050
14050,3,-25,15043
15043,3,-25,15536
15536,3,-25,16530
16530,3,-25,17025
17025,3,-25,17520
17520,3,-25,18515
18515,3,-25,19011
19011,3,-25,19508
19508,3,-25,20004
20004,3,-25,20501
20501,3,-25,25001
25001,3,-25,25501
25501,5,-25,26002
26002,5,-25,27003
27003,5,-25,28006
28006,5,-25,28508
28508,5,-25,29512
29512,5,-25,30516
30516,5,-25,31520
31520,5,-25,32526
32526,5,-25,33532
33532,5,-25,34539
34539,5,-25,35546
35546,5,-25,36554
36554,5,-25,37563
37563,5,-25,38573
38573,5,-25,39584
39584,5,-25,41095
41095,5,-25,42107
42107,5,-25,43120
43120,5,-25,43633
43633,5,-25,44647
44647,5,-25,45662
45662,5,-25,46177
46177,5,-25,46692
46692,5,-25,46707
46707,5,-25,47223
47223,5,-25,46738
46738,5,-25,46754
46754,5,-25,46269
46269,5,-25,45784
45784,5,-25,45298
45298,5,-25,44812
44812,5,-25,44325
44325,5,-25,43338
43338,5,-25,42350
42350,5,-25,41862
41862,5,-25,40874
40874,5,-25,40384
40384,5,-25,39895
39895,5,-25,38904
38904,5,-25,38414
38414,5,-25,37923
37923,5,-25,37432
37432,5,-25,37440
37440,5,-25,36949
36949,5,-25,36957
36957,5,99975,36965
25343,1,-225,24693
24693,1,-225,24692
24692,1,-225,24192
24192,1,-225,24191
24191,1,-225,24191
24191,1,-225,23690
23690,1,-225,23689
23689,1,-225,23688
23688,1,-225,23687
23687,1,-225,23186
23186,1,-225,23185
23185,1,-225,23184
23184,1,-225,23182
23182,1,-225,23181
23181,1,-225,22679
22679,1,-225,22678
22678,1,-225,22677
22677,1,-225,22675
22675,1,-225,22674
22674,1,-225,22672
22672,1,-225,22671
22671,1,-225,22669
22669,1,-225,23168
23168,1,-225,23166
23166,1,-225,23165
23165,1,-225,23164
23164,1,-225,23163
23163,1,-225,23662
23662,1,-225,23661
23661,1,-225,23660
23660,1,-225,23659
23659,1,-225,24159
24159,1,-225,24158
24158,1,-225,24158
24158,1,-225,24657
24657,1,-225,24657
24657,1,-225,24657
24657,1,-225,25157
25157,7,-225,25658
25658,7,-225,26659
26659,7,-225,27161
27161,7,-225,28163
28163,7,-225,28666
28666,7,-225,29669
29669,7,-225,30173
30173,7,-225,30677
30677,7,-225,31682
31682,7,-225,32187
32187,7,-225,32692
32692,7,-225,33198
33198,7,-225,33204
33204,7,-225,33710
33710,7,-225,34216
34216,7,-225,34223
34223,7,-225,34229
34229,7,-225,34236
34236,7,-225,34243
34243,7,-225,34249
34249,7,-225,34256
34256,7,-225,33762
33762,7,-225,33768
33768,7,-225,33274
33274,7,-225,33280
33280,7,-225,32785
32785,7,-225,32290
32290,7,-225,31795
31795,7,-225,31299
31299,7,-225,30803
30803,7,-225,30307
30307,7,-225,29810
29810,7,-225,29313
29313,7,-225,28816
28816,7,-225,27818
27818,7,-225,27320
27320,7,-225,26821
26821,7,-225,26322
26322,7,-225,25822
25822,7,-225,24822
24822,1,-225,23821
23821,1,-225,22820
22820,1,-225,21317
21317,1,-225,20314
20314,1,-225,18809
18809,1,-225,17804
17804,1,-225,16798
16798,1,-225,15792
15792,1,-225,14284
14284,1,-225,13276
13276,1,-225,12267
12267,1,-225,11257
11257,1,-225,10747
10747,1,-225,9737
9737,1,-225,9226
9226,1,-225,8714
8714,1,-225,8202
8202,1,-225,8190
8190,1,-225,7678
7678,1,-225,7666
7666,1,-225,7654
7654,1,-225,8142
8142,1,-225,8131
8131,1,-225,8619
8619,1,-225,9108
9108,1,-225,9597
9597,1,-225,10087
10087,1,-225,10577
10577,1,-225,11568
11568,1,-225,12059
12059,1,-225,12550
12550,1,-225,13042
13042,1,-225,14034
14034,1,-225,14527
14527,1,-225,15020
15020,1,-225,15513
15513,1,-225,16007
16007,1,-225,16001
16001,1,-225,25001
25001,1,-225,25001
25001,7,-225,26002
26002,7,-225,27003
27003,7,-225,28006
28006,7,-225,29009
29009,7,-225,30013
30013,7,-225,31017
31017,7,-225,32523
32523,7,-225,33529
33529,7,-225,34536
34536,7,-225,36044
36044,7,-225,37052
37052,7,-225,38062
38062,7,-225,39572
39572,7,-225,40583
40583,7,-225,42095
42095,7,-225,43108
43108,7,-225,44622
44622,7,-225,45637
45637,7,-225,46652
46652,7,-225,47168
47168,7,-225,48184
48184,7,-225,48701
48701,7,-225,48718
48718,7,-225,49235
49235,7,-225,49252
49252,7,-225,48769
48769,7,-225,48785
48785,7,-225,48302
48302,7,-225,47818
47818,7,-225,47333
47333,7,-225,46849
46849,7,-225,45863
45863,7,-225,45378
45378,7,-225,44891
44891,7,-225,44405
44405,7,-225,43918
43918,7,-225,43931
43931,7,-225,43444
43444,7,-225,43457
43457,7,99775,43470
25343,4,0,25200
25200,4,0,25201
25201,6,-100,25201
25201,6,-100,25701
25701,4,0,25702
25702,5,-25,26203
26203,3,-25,25703
25703,3,-25,25704
25704,3,-25,25704
25704,3,-25,25205
25205,3,-25,25205
25205,5,-25,25205
25205,5,-25,25706
25706,4,0,25706
25706,6,-100,25707
25707,6,-100,26207
26207,5,-25,26208
26208,4,0,26209
26209,3,-25,26210
26210,6,-100,26211
26211,4,0,26212
26212,6,-100,26213
26213,6,-100,26714
26714,6,-100,26716
26716,4,0,26717
26717,5,-25,26718
26718,3,-25,26719
26719,5,-25,26720
26720,6,-100,26721
26721,5,-25,26723
26723,6,-100,26724
26724,3,-25,26225
26225,5,-25,26226
26226,5,-25,26227
26227,4,0,26228
26228,3,-25,25728
25728,4,0,25228
25228,3,-25,25228
25228,6,-100,25228
25228,5,-25,25229
25229,5,-25,24728
24728,3,-25,24728
24728,3,-25,24227
24227,3,-25,23727
23727,2,-100,23225
23225,5,-25,23224
23224,5,-25,23223
23223,3,-25,22721
22721,3,-25,22219
22219,3,-25,22217
22217,5,-25,22215
22215,5,-25,22213
22213,4,0,22211
22211,3,-25,21709
21709,2,-100,21706
21706,5,-25,21704
21704,5,-25,21702
21702,5,-25,21700
21700,5,-25,22198
22198,4,0,22196
22196,5,-25,22694
22694,3,-25,22192
22192,5,-25,22691
22691,4,0,22689
22689,5,-25,23188
23188,4,0,23187
23187,3,-25,23186
23186,2,-100,23185
23185,5,-25,23684
23684,3,-25,23683
23683,3,-25,23682
23682,2,-100,23681
23681,4,0,24181
24181,2,-100,23680
23680,2,-100,23679
23679,5,-25,24179
24179,5,-25,24678
24678,4,0,25179
25179,5,-25,25679
25679,3,-25,25679
25679,6,-100,26180
26180,3,-25,26181
26181,6,-100,26682
26682,3,-25,26684
26684,4,0,27185
27185,5,-25,27687
27687,5,-25,27689
27689,3,-25,27691
27691,5,-25,28193
28193,5,-25,28196
28196,6,-100,28699
28699,4,0,28701
28701,3,-25,28704
28704,5,-25,28707
28707,6,-100,29210
29210,6,-100,29713
29713,3,-25,29216
29216,3,-25,29219
29219,5,-25,29222
29222,4,0,28724
28724,4,0,28727
28727,3,-25,28229
28229,6,-100,28231
28231,6,-100,28234
28234,4,0,28236
28236,3,-25,27738
27738,5,-25,27239
27239,6,-100,27241
27241,5,-25,27243
27243,3,-25,26744
26744,3,-25,25744
25744,5,-25,25745
25745,6,-100,25745
25745,4,0,25245
25245,6,-100,25245
25245,4,0,24745
24745,3,-25,24245
24245,2,-100,23244
23244,4,0,23242
23242,3,-25,22240
22240,4,0,22238
22238,4,0,21736
21736,4,0,21234
21234,2,-100,20731
20731,3,-25,20227
20227,4,0,20224
20224,2,-100,19720
19720,3,-25,19216
19216,3,-25,19212
19212,5,-25,19208
19208,2,-100,18703
18703,3,-25,18699
18699,3,-25,18694
18694,4,0,18690
18690,2,-100,18685
18685,4,0,18681
18681,2,-100,18676
18676,4,0,18672
18672,4,0,19168
19168,3,-25,19664
19664,4,0,19661
19661,2,-100,20157
20157,4,0,20654
20654,3,-25,20651
20651,4,0,21149
21149,2,-100,21646
21646,5,-25,22145
22145,4,0,23143
23143,2,-100,23142
23142,3,-25,23641
23641,2,-100,24141
24141,5,-25,24640
24640,4,0,25141
25141,4,0,26142
26142,4,0,26643
26643,3,-25,27144
27144,3,-25,27646
27646,6,-100,28149
28149,6,-100,29152
29152,5,-25,30155
30155,5,-25,30659
30659,3,-25,31163
31163,5,-25,31668
31668,4,0,31673
31673,3,-25,32178
32178,4,0,32183
32183,4,0,32689
32689,4,0,32694
32694,4,0,32700
32700,6,-100,33206
33206,4,0,33212
33212,6,-100,33718
33718,4,0,33223
33223,3,-25,33229
33229,4,0,32735
32735,5,-25,32740
32740,5,-25,32245
32245,6,-100,32250
32250,5,-25,32255
32255,5,-25,31760
31760,5,-25,31264
31264,6,-100,30769
30769,5,-25,30773
30773,4,0,29776
29776,3,-25,29279
29279,3,-25,28281
28281,3,-25,27283
27283,6,-100,26784
26784,3,-25,26285
26285,6,-100,25785
25785,4,0,24785
24785,4,0,24284
24284,5,-25,23783
23783,2,-100,22282
22282,3,-25,21779
21779,4,0,20776
20776,4,0,20273
20273,5,-25,19769
19769,5,-25,19265
19265,5,-25,18761
18761,3,-25,18256
18256,3,-25,17251
17251,3,-25,16745
16745,3,-25,16239
16239,3,-25,15732
15732,4,0,15226
15226,3,-25,15219
15219,3,-25,14711
14711,5,-25,14704
14704,3,-25,14697
14697,2,-100,14690
14690,5,-25,14682
14682,4,0,15175
15175,5,-25,15669
15669,3,-25,15662
15662,3,-25,16156
16156,3,-25,16150
16150,3,-25,16644
16644,4,0,17139
17139,2,-100,17633
17633,4,0,18129
18129,4,0,19124
19124,5,-25,19621
19621,3,-25,20618
20618,3,-25,21115
21115,4,0,21613
21613,3,-25,22611
22611,3,-25,23110
23110,2,-100,23609
23609,5,-25,24609
24609,4,0,25610
25610,5,-25,26611
26611,4,0,27112
27112,6,-100,28615
28615,5,-25,29118
29118,3,-25,30122
30122,4,0,30626
30626,6,-100,31631
31631,3,-25,32136
32136,6,-100,33142
33142,6,-100,34149
34149,6,-100,35156
35156,4,0,35663
35663,4,0,36171
36171,4,0,36179
36179,4,0,36688
36688,6,-100,37196
37196,4,0,37205
37205,4,0,37214
37214,3,-25,37222
37222,6,-100,37231
37231,4,0,36739
36739,5,-25,36747
36747,5,-25,36256
36256,4,0,35763
35763,6,-100,35771
35771,3,-25,34778
34778,3,-25,34284
34284,4,0,33290
33290,3,-25,32295
32295,4,0,31800
31800,4,0,30804
30804,5,-25,30308
30308,5,-25,29311
29311,4,0,28313
28313,3,-25,27315
27315,3,-25,26316
26316,6,-100,25816
25816,5,-25,25317
25317,6,-100,24816
24816,5,-25,23815
23815,4,0,22814
22814,2,-100,21812
21812,2,-100,20808
20808,2,-100,19304
19304,2,-100,18300
18300,4,0,17294
17294,3,-25,16288
16288,4,0,15782
15782,5,-25,15275
15275,3,-25,14267
14267,3,-25,13759
13759,4,0,12750
12750,5,-25,12742
12742,5,-25,12233
12233,5,-25,12224
12224,3,-25,11715
11715,3,-25,11705
11705,5,-25,11696
11696,5,-25,12187
12187,5,-25,12178
12178,4,0,12669
12669,5,-25,13161
13161,5,-25,13653
13653,5,-25,14646
14646,5,-25,15139
15139,5,-25,16133
16133,2,-100,16127
16127,2,-100,16621
16621,4,0,17616
17616,5,-25,18611
18611,5,-25,19607
19607,5,-25,20104
20104,3,-25,21101
21101,5,-25,22099
22099,2,-100,22598
22598,4,0,23597
23597,4,0,24596
24596,3,-25,25097
25097,5,-25,26098
26098,3,-25,27099
27099,3,-25,27601
27601,6,-100,28604
28604,3,-25,29607
29607,5,-25,30611
30611,5,-25,31615
31615,6,-100,32621
32621,5,-25,33627
33627,3,-25,34133
34133,3,-25,34640
34640,3,-25,35147
35147,4,0,35655
35655,6,-100,36663
36663,6,-100,37172
37172,3,-25,37181
37181,5,-25,37690
37690,5,-25,38199
38199,5,-25,38208
38208,4,0,38218
38218,6,-100,38727
38727,5,-25,38237
38237,4,0,38246
38246,6,-100,38255
38255,6,-100,37764
37764,3,-25,37273
37273,4,0,36281
36281,3,-25,35788
35788,3,-25,34795
34795,4,0,33801
33801,4,0,33307
33307,6,-100,32312
32312,4,0,31817
31817,5,-25,30821
30821,5,-25,30325
30325,4,0,29328
29328,3,-25,28330
28330,3,-25,27331
27331,5,-25,26332
26332,3,-25,25332
25332,3,-25,24332
24332,3,-25,23330
23330,3,-25,21828
21828,2,-100,20825
20825,4,0,19821
19821,4,0,18817
18817,2,-100,17812
17812,4,0,16806
16806,4,0,15800
15800,4,0,15293
15293,2,-100,14285
14285,2,-100,12777
12777,5,-25,12268
12268,5,-25,12259
12259,2,-100,11249
11249,4,0,10739
10739,5,-25,10728
10728,5,-25,10218
10218,4,0,10208
10208,2,-100,9697
9697,2,-100,9686
9686,3,-25,9676
9676,5,-25,10165
10165,5,-25,10655
10655,5,-25,11146
11146,3,-25,11636
11636,3,-25,12127
12127,5,-25,13119
13119,5,-25,14111
14111,2,-100,14604
14604,4,0,15598
15598,4,0,16091
16091,4,0,17086
17086,4,0,18081
18081,3,-25,18577
18577,5,-25,20073
20073,2,-100,20570
20570,2,-100,21068
21068,4,0,22066
22066,4,0,23065
23065,2,-100,23564
23564,2,-100,24063
24063,2,-100,25063
25063,4,0,25564
25564,5,-25,27065
27065,3,-25,27567
27567,6,-100,29070
29070,4,0,29574
29574,4,0,30578
30578,6,-100,32083
32083,5,-25,33089
33089,3,-25,33595
33595,3,-25,34602
34602,4,0,35609
35609,5,-25,36618
36618,5,-25,37126
37126,3,-25,38136
38136,3,-25,38645
38645,4,0,39155
39155,6,-100,39666
39666,5,-25,40677
40677,6,-100,41188
41188,4,0,41200
41200,4,0,41211
41211,3,-25,41222
41222,3,-25,40734
40734,4,0,40245
40245,6,-100,40255
40255,3,-25,39766
39766,5,-25,39276
39276,5,-25,38786
38786,4,0,38295
38295,4,0,37303
37303,4,0,36311
36311,4,0,35819
35819,3,-25,34326
34326,5,-25,33832
33832,4,0,32837
32837,3,-25,31842
31842,4,0,30846
30846,6,-100,30350
30350,5,-25,29353
29353,5,-25,28855
28855,4,0,27857
27857,4,0,26858
26858,5,-25,25859
25859,4,0,25359
25359,3,-25,23858
23858,3,-25,22857
22857,2,-100,21854
21854,4,0,20852
20852,4,0,19848
19848,5,-25,19344
19344,2,-100,17839
17839,3,-25,16833
16833,5,-25,15826
15826,3,-25,14819
14819,4,0,13812
13812,2,-100,12803
12803,3,-25,11794
11794,2,-100,10784
10784,4,0,9773
9773,3,-25,9262
9262,5,-25,8750
8750,2,-100,7738
7738,4,0,7726
7726,3,-25,7214
7214,3,-25,7201
7201,5,-25,7188
7188,4,0,7176
7176,4,0,7664
7664,2,-100,7652
7652,2,-100,8140
8140,3,-25,8128
8128,4,0,9117
9117,3,-25,9606
9606,2,-100,10096
10096,3,-25,11086
11086,3,-25,11577
11577,4,0,12568
12568,5,-25,13560
13560,4,0,14553
14553,2,-100,15046
15046,3,-25,16040
16040,2,-100,16534
16534,2,-100,17029
17029,2,-100,17524
17524,2,-100,18019
18019,2,-100,18515
18515,5,-25,19511
19511,5,-25,20508
20508,3,-25,21005
21005,2,-100,21503
21503,2,-100,22001
22001,5,-25,25001
25001,4,0,25501
25501,5,-25,26502
26502,4,0,27004
27004,4,0,27506
27506,3,-25,28008
28008,4,0,29011
29011,5,-25,30015
30015,6,-100,31019
31019,5,-25,32024
32024,5,-25,33030
33030,3,-25,33536
33536,5,-25,34543
34543,3,-25,35550
35550,5,-25,36559
36559,3,-25,37067
37067,4,0,38077
25343,3,-25,24716
24716,4,0,24716
24716,4,0,24215
24215,2,-100,24215
24215,3,-25,23714
23714,3,-25,23713
23713,5,-25,23712
23712,5,-25,23711
23711,3,-25,23210
23210,5,-25,23709
23709,3,-25,23208
23208,3,-25,23206
23206,4,0,23205
23205,5,-25,23204
23204,4,0,23203
23203,4,0,23202
23202,4,0,23201
23201,4,0,23200
23200,2,-100,23198
23198,3,-25,23197
23197,3,-25,23196
23196,4,0,23194
23194,4,0,23193
23193,5,-25,23692
23692,3,-25,23691
23691,3,-25,23690
23690,2,-100,23189
23189,5,-25,23688
23688,4,0,23687
23687,2,-100,23686
23686,5,-25,24185
24185,3,-25,24185
24185,5,-25,24685
24685,3,-25,24684
24684,2,-100,24184
24184,2,-100,24183
24183,4,0,24683
24683,4,0,24683
24683,5,-25,25183
25183,4,0,25184
25184,6,-100,25684
25684,3,-25,26185
26185,6,-100,26686
26686,6,-100,27188
27188,3,-25,27189
27189,3,-25,27190
27190,5,-25,27192
27192,3,-25,27194
27194,3,-25,27196
27196,3,-25,27197
27197,5,-25,27699
27699,6,-100,27701
27701,4,0,27703
27703,3,-25,27705
27705,4,0,27707
27707,3,-25,27709
27709,4,0,27711
27711,3,-25,27212
27212,6,-100,27714
27714,5,-25,27716
27716,6,-100,27718
27718,5,-25,27720
27720,6,-100,28222
28222,3,-25,27724
27724,4,0,27226
27226,3,-25,27227
27227,6,-100,27229
27229,5,-25,27230
27230,6,-100,27232
27232,3,-25,26733
26733,6,-100,26734
26734,5,-25,26735
26735,3,-25,26236
26236,5,-25,25737
25737,3,-25,25237
25237,6,-100,25237
25237,4,0,25237
25237,4,0,24737
24737,2,-100,24236
24236,2,-100,23235
23235,5,-25,23234
23234,2,-100,22732
22732,5,-25,22731
22731,3,-25,22229
22229,5,-25,21726
21726,2,-100,21224
21224,2,-100,20721
20721,3,-25,20718
20718,3,-25,20215
20215,3,-25,20211
20211,4,0,19708
19708,2,-100,19704
19704,4,0,19700
19700,3,-25,19696
19696,5,-25,19693
19693,4,0,19689
19689,4,0,20186
20186,4,0,20182
20182,2,-100,20179
20179,4,0,20676
20676,4,0,20673
20673,5,-25,21170
21170,5,-25,21668
21668,3,-25,22166
22166,2,-100,22164
22164,2,-100,22162
22162,4,0,22660
22660,4,0,23159
23159,5,-25,23658
23658,3,-25,24157
24157,4,0,24657
24657,2,-100,24657
24657,3,-25,25157
25157,3,-25,25157
25157,5,-25,26158
26158,4,0,26159
26159,3,-25,26660
26660,4,0,27162
27162,6,-100,28164
28164,6,-100,28667
28667,5,-25,29170
29170,5,-25,29673
29673,6,-100,30177
30177,5,-25,30681
30681,5,-25,31185
31185,4,0,31690
31690,4,0,31695
31695,6,-100,32200
32200,4,0,32205
32205,5,-25,32210
32210,5,-25,32215
32215,4,0,32220
32220,4,0,32225
32225,6,-100,32230
32230,6,-100,32235
32235,6,-100,32241
32241,6,-100,32246
32246,5,-25,31751
31751,4,0,31255
31255,5,-25,31259
31259,5,-25,30763
30763,6,-100,30267
30267,5,-25,29771
29771,3,-25,29274
29274,3,-25,28276
28276,6,-100,28278
28278,5,-25,27280
27280,6,-100,27281
27281,4,0,26282
26282,3,-25,25283
25283,6,-100,25283
25283,6,-100,24783
24783,4,0,23782
23782,5,-25,23281
23281,3,-25,22779
22779,2,-100,21776
21776,2,-100,20773
20773,2,-100,19769
19769,4,0,18765
18765,5,-25,18261
18261,4,0,17756
17756,2,-100,17250
17250,5,-25,16744
16744,3,-25,16238
16238,2,-100,15731
15731,2,-100,14724
14724,2,-100,14217
14217,2,-100,14209
14209,4,0,13701
13701,3,-25,13694
13694,5,-25,14186
14186,3,-25,14178
14178,2,-100,14171
14171,2,-100,14163
14163,5,-25,14656
14656,3,-25,15149
15149,4,0,15642
15642,3,-25,16136
16136,5,-25,16630
16630,2,-100,17125
17125,3,-25,17620
17620,4,0,18616
18616,3,-25,19112
19112,4,0,20108
20108,2,-100,20605
20605,3,-25,21103
21103,3,-25,22100
22100,4,0,22599
22599,5,-25,23598
23598,3,-25,24598
24598,2,-100,25098
25098,3,-25,25599
25599,4,0,26600
26600,5,-25,27602
27602,6,-100,29105
29105,6,-100,30109
30109,3,-25,30613
30613,3,-25,31617
31617,6,-100,32623
32623,3,-25,33128
33128,4,0,33635
33635,4,0,34642
34642,6,-100,35149
35149,5,-25,36157
36157,4,0,36665
36665,5,-25,37174
37174,5,-25,37683
37683,3,-25,37692
37692,6,-100,38201
38201,3,-25,38210
38210,5,-25,38220
38220,5,-25,38229
38229,3,-25,37738
37738,3,-25,37247
37247,5,-25,37255
37255,5,-25,36764
36764,3,-25,35771
35771,5,-25,35279
35279,5,-25,34786
34786,5,-25,34292
34292,4,0,33798
33798,5,-25,32804
32804,5,-25,32309
32309,5,-25,31814
31814,4,0,30818
30818,5,-25,29821
29821,5,-25,29324
29324,5,-25,28326
28326,5,-25,27828
27828,4,0,26829
26829,3,-25,25830
25830,4,0,24830
24830,3,-25,23829
23829,5,-25,22827
22827,4,0,21825
21825,2,-100,20822
20822,5,-25,19818
19818,5,-25,19314
19314,4,0,18310
18310,2,-100,17304
17304,3,-25,16298
16298,4,0,15291
15291,5,-25,14784
14784,4,0,13776
13776,3,-25,13268
13268,3,-25,12259
12259,2,-100,11749
11749,3,-25,10739
10739,3,-25,10229
10229,4,0,10219
10219,2,-100,9708
9708,2,-100,9197
9197,3,-25,9186
9186,2,-100,9175
9175,4,0,9664
9664,5,-25,10153
10153,4,0,10643
10643,3,-25,11133
11133,4,0,11624
11624,3,-25,12115
12115,2,-100,12606
12606,3,-25,13098
13098,4,0,14091
14091,4,0,15084
15084,2,-100,15577
15577,2,-100,16071
16071,3,-25,17066
17066,3,-25,18061
18061,2,-100,18557
18557,2,-100,19053
19053,2,-100,19549
19549,2,-100,20546
20546,2,-100,21043
21043,5,-25,22041
22041,4,0,23040
23040,4,0,23539
23539,5,-25,24539
24539,4,0,25539
25539,3,-25,26541
26541,5,-25,27542
27542,6,-100,28545
28545,4,0,29548
29548,3,-25,30052
30052,4,0,31057
31057,6,-100,32562
32562,4,0,33568
33568,3,-25,34075
34075,4,0,35082
35082,3,-25,36090
36090,6,-100,37099
37099,6,-100,38108
38108,6,-100,39618
39618,6,-100,40629
40629,4,0,41141
41141,4,0,42153
42153,6,-100,42666
42666,6,-100,43679
43679,5,-25,43692
43692,3,-25,43705
43705,5,-25,44219
44219,3,-25,43732
43732,6,-100,43745
43745,3,-25,43258
43258,3,-25,42771
42771,4,0,41783
41783,3,-25,41294
41294,6,-100,40805
40805,3,-25,39815
39815,5,-25,38825
38825,4,0,37834
37834,5,-25,37343
37343,4,0,36351
36351,5,-25,35358
35358,4,0,34865
34865,6,-100,33871
33871,3,-25,32876
32876,3,-25,31881
31881,3,-25,30885
30885,4,0,30389
30389,5,-25,29392
29392,5,-25,28895
28895,6,-100,28397
28397,4,0,27899
27899,4,0,26900
26900,3,-25,25901
25901,4,0,25401
25401,3,-25,24400
24400,3,-25,23399
23399,4,0,22898
22898,2,-100,21895
21895,5,-25,20892
20892,4,0,20389
20389,5,-25,19885
19885,3,-25,18880
18880,3,-25,17875
17875,3,-25,16869
16869,5,-25,15863
15863,3,-25,14855
14855,2,-100,13347
13347,5,-25,12839
12839,5,-25,11829
11829,3,-25,10819
10819,2,-100,9809
9809,5,-25,8797
8797,4,0,8285
8285,2,-100,7273
7273,2,-100,6259
6259,4,0,5746
5746,3,-25,4731
4731,3,-25,4717
4717,4,0,4203
4203,2,-100,4188
4188,2,-100,4173
4173,3,-25,4158
4158,3,-25,4144
4144,5,-25,5130
5130,4,0,5616
5616,2,-100,6103
6103,2,-100,6591
6591,2,-100,7578
7578,4,0,8067
8067,3,-25,9056
9056,5,-25,10045
10045,5,-25,11036
11036,5,-25,12027
12027,3,-25,13019
13019,5,-25,14011
14011,2,-100,14503
14503,4,0,25001
25001,3,-25,25501
25501,4,0,26002
26002,3,-25,26503
26503,3,-25,27005
27005,6,-100,28007
28007,3,-25,28510
28510,6,-100,29513
29513,3,-25,30517
30517,3,-25,31021
31021,3,-25,31526
31526,4,0,32531
32531,4,0,33037
33037,6,-100,34544
34544,4,0,35552
35552,4,0,36060
36060,3,-25,37068
37068,4,0,38078
38078,6,-100,39088
39088,3,-25,40099
40099,6,-100,41110
41110,5,-25,42122
42122,6,-100,43135
43135,3,-25,43649
43649,6,-100,44663
44663,6,-100,45677
45677,3,-25,45692
45692,6,-100,46207
46207,3,-25,45721
45721,5,-25,45736
45736,5,-25,45751
45751,4,0,45265
45265,5,-25,44779
44779,5,-25,44293
44293,3,-25,43306
43306,4,0,42818
42818,4,0,41830
41830,5,-25,40841
40841,6,-100,40352
40352,4,0,39362
39362,5,-25,38871
38871,3,-25,37380
37380,3,-25,36388
36388,5,-25,35896
35896,3,-25,34903
34903,4,0,34409
34409,3,-25,33415
33415,5,-25,32921
32921,3,-25,32426
32426,6,-100,31931
31931,5,-25,31935
31935,4,0,31440
31440,4,0,30944
30944,6,-100,30947
30947,3,-25,30451
30451,3,-25,29954
29954,6,-100,29958
29958,6,99900,29961
25343,2,-100,24697
24697,5,-25,25197
25197,5,-25,25197
25197,4,0,25197
25197,3,-25,25198
25198,4,0,25198
25198,5,-25,25698
25698,4,0,25699
25699,4,0,25699
25699,6,-100,26200
26200,5,-25,26201
26201,4,0,26202
26202,5,-25,26703
26703,4,0,26704
26704,3,-25,26205
26205,4,0,26206
26206,5,-25,26707
26707,3,-25,26208
26208,5,-25,26209
26209,6,-100,26710
26710,5,-25,26711
26711,6,-100,27213
27213,3,-25,26714
26714,4,0,26715
